API Well Number,County,Company Name,API Hole Number,Sidetrack,Completion,Well Type,Production Field Name,Well Status,Well Name,Town,Producing Formation,Months in Production,"Gas Produced, MCF","Water Produced, bbl",Reporting Year,Location 1
31009217690000,9,Fault Line Oil Corp.,21769,0,0,GE,Ashford,AC,Widrig #1,Ashford,Medina,10,2411,0,1996,"Ashford, NY
(42.32096445800045, -78.60733561199964)"
31013170630000,13,Dannic Energy Corp.,17063,0,0,GD,Lakeshore,AC,M Anderson #1,Carroll,Medina,12,1180,0,1993,"Carroll, NY
(42.01751177700049, -78.34077780999968)"
31121138420000,121,"Big Tree, LLC",13842,0,0,GW,Unnamed,IN,H. Johnson # 1,Gainesville,Medina,0,0,0,1994,"Gainesville, NY
(42.64198251300047, -78.13412896899968)"
31013143180000,13,Great Lakes Energy Partners,14318,0,0,GD,Lakeshore,AC,"Strong, R 1",Ripley,Medina,10,482,0,1993,"Ripley, NY
(42.26656226300048, -79.71128793299965)"
31013142640000,13,"Nornew, Inc.",14264,0,0,GD,Lakeshore,AC,"Carlson, P #2 Ae-117",Busti,Medina,0,4653,0,1992,"Busti, NY
(42.03788189500045, -79.28375662499968)"
31013144300000,13,"Densmore, Winfield F. & Debra",14430,0,0,GD,Lakeshore,AC,Doud #1,Busti,Medina,12,200,0,1988,"Busti, NY
(42.03788189500045, -79.28375662499968)"
31013218330000,13,"Ardent Resources, Inc.",21833,0,0,GD,Lakeshore,AC,NYSRA #7-4,Charlotte,Medina,12,10155,0,1993,"Charlotte, NY
(43.24540427500045, -77.61779716599966)"
31013187020000,13,Belden & Blake Corporation,18702,0,0,GD,Lakeshore,AC,Rashbrook #795,Ellery,Medina,12,5164,0,1989,"Ellery, NY
(42.19514403000045, -79.38579925999966)"
31029171290000,29,"Niefergold, Martin L.& Suzanne",17129,0,0,GD,North Collins,AC,Niefergold 1,North Collins,Medina,5,529,0,1987,"North Collins, NY
(42.59468150000049, -78.94094821499965)"
31029211280000,29,Evans-Brant School District,21128,0,0,GD,Lakeview,AC,Lakeshore Central #4,Evans,Medina,12,2337,23,1993,"Evans, NY
(42.69834088200048, -78.94540989999967)"
31013111180000,13,Belden & Blake Corporation,11118,0,0,GD,Lakeshore,AC,Sheppard 142,Stockton,Medina,11,4889,14,1987,"Stockton, NY
(42.31662335800047, -79.35563933699967)"
31037139740000,37,United States Gypsum Co.,13974,0,0,GD,Huron Creek,AC,Hegge #1,Alexander,Medina,12,1388,20,1998,"Alexander, NY
(42.901733899000476, -78.25626928699967)"
31013159360000,13,Great Lakes Energy Partners,15936,0,0,GD,Lakeshore,AC,NYSRA 3-4,Chautauqua,Medina,12,2574,0,1995,"Chautauqua, NY
(42.205103549000455, -79.46580590299965)"
31013156310000,13,"Kastle Resources Enterprises, Inc.",15631,0,0,GD,Lakeshore,AC,James #1,Busti,Medina,12,569,0,1999,"Busti, NY
(42.03788189500045, -79.28375662499968)"
31013178660000,13,"Kent, John A. and Penny S.",17866,0,0,GD,Lakeshore,AC,Edwards Ida #1,Harmony,Medina,12,0,154,1990,"Harmony, NY
(41.20120795700046, -73.88346743599965)"
31009168820000,9,Great Lakes Energy Partners,16882,0,0,GD,Lakeshore,AC,"Beaver, D 1",Conewango,Medina,12,2885,0,1995,"Conewango, NY
(42.239622435000456, -79.05676892799966)"
31013183970000,13,"Lenape Resources, Inc.",18397,0,0,GD,Lakeshore,AC,Harmelink 726 #2,Mina,Medina,12,197,0,1990,"Mina, NY
(42.129732772000466, -79.68820686199967)"
31009182800000,9,Eastern American Energy Corp.,18280,0,0,GD,Lakeshore,AC,Barton #2,Randolph,Medina,12,1222,14,1991,"Randolph, NY
(42.16233121400046, -78.97460960099966)"
31009178240000,9,"Texas Keystone, Inc.",17824,0,0,GD,Lakeshore,AC,P Wells #1,Persia,Medina,10,1737,0,1988,"Persia, NY
(42.3847813000005, -78.93615603399968)"
31029165170000,29,"Stedman Energy, Inc.",16517,0,0,GD,Brant-Eden,AC,Milius,Brant,Medina,12,1985,0,1997,"Brant, NY
(42.59375254100047, -79.01745785999964)"
31029032200000,29,Iroquois Gas Corp.,3220,0,0,GD,Alden-Lancaster,UN,Chaplin H 2,Lancaster,Medina,12,935,0,1986,"Lancaster, NY
(42.90039405300047, -78.67012970499968)"
31029207680000,29,"Cotton Well Drilling Co., Inc.",20768,0,0,GD,Concord,AC,Magavern #1,Concord,Medina,9,886,160,1999,"Concord, NY
(42.53582208600045, -78.71790859699968)"
31013146180000,13,Great Lakes Energy Partners,14618,0,0,GD,Lakeshore,AC,"Cornell,G 1",Chautauqua,Medina,12,0,0,1998,"Chautauqua, NY
(42.205103549000455, -79.46580590299965)"
31013170250000,13,"Nornew, Inc.",17025,0,0,GD,Lakeshore,AC,Morrison Unit 1,Ellicott,Medina,12,15820,0,1995,"Ellicott, NY
(42.8744233810005, -78.85339824199963)"
31013183060000,13,"Lenape Resources, Inc.",18306,0,0,GD,Lakeshore,AC,Reitz 715,Mina,Medina,12,62,1781,1993,"Mina, NY
(42.129732772000466, -79.68820686199967)"
31029180690000,29,"Stedman Energy, Inc.",18069,0,0,GD,Brant-Eden,AC,Shaw-Vacco #2,Eden,Medina,1,3,0,1998,"Eden, NY
(42.66478221800048, -78.88882822399967)"
31013170230000,13,"Nornew, Inc.",17023,0,0,GD,Lakeshore,AC,"Nelson, E. Unit #1",Kiantone,Medina,12,6915,0,1986,"Kiantone, NY
(42.02199943500045, -79.19809619699964)"
31051174520000,51,"Lenape Resources, Inc.",17452,0,0,GD,Uhley Corners-Caledonia,AC,Doolittle 200,York,Medina,12,2834,0,2000,"York, NY
(43.20406110900046, -76.93921900099963)"
31029223900000,29,"Envirogas, Inc.",22390,0,0,GD,Elma,AC,Henderson H #1,Elma,Medina,0,0,0,1993,"Elma, NY
(42.8488412640005, -78.64054591599967)"
31013154990000,13,"Lenape Resources, Inc.",15499,0,0,GD,Lakeshore,AC,Danielson #2,Busti,Medina,3,2735,3,1986,"Busti, NY
(42.03788189500045, -79.28375662499968)"
31037161720000,37,United States Gypsum Co.,16172,0,0,GD,Huron Creek,AC,Stalica #1,Pembroke,Medina,8,542,0,1992,"Pembroke, NY
(43.01478113200045, -78.34690983699966)"
31121139940000,121,"Lenape Resources, Inc.",13994,0,0,GD,Danley Corners,AC,Stedman #49,Bennington,Medina,12,743,0,1994,"Bennington, NY
(42.83674245900045, -78.39450561599966)"
31037139880000,37,"Gleber, Lawrence C. & Dorothy",13988,0,0,GD,Uhley Corners-Caledonia,PA,Gleber 37,Pavilion,Medina,12,914,0,1985,"Pavilion, NY
(42.87466008700045, -78.02324781999965)"
31013144650000,13,Belden & Blake Corporation,14465,0,0,GD,Lakeshore,AC,Westfield F&G 2,Westfield,Medina,12,1237,0,2000,"Westfield, NY
(42.322304303000465, -79.57760707899968)"
31029159110000,29,"GFS Energy, Inc.",15911,0,0,GD,Buffalo Creek,AC,Martenet 1,Marilla,Medina,11,1384,0,1995,"Marilla, NY
(42.83851105500048, -78.55520668799966)"
31013197460000,13,Great Lakes Energy Partners,19746,0,0,GD,Lakeshore,AC,"Stewart, R #4",Hanover,Medina,12,3042,30,1994,"Hanover, NY
(42.963563303000456, -75.37938870499966)"
31013162230000,13,Belden & Blake Corporation,16223,0,0,GD,Lakeshore,AC,NYSRA #2-1512,Sherman,Medina,11,102003,68,1992,"Sherman, NY
(42.159343358000456, -79.59595849699963)"
31013125390000,13,"Kastle Resources Enterprises, Inc.",12539,0,0,GD,Lakeshore,AC,Maziar NY #22,Cherry Creek,Grimsby,12,8821,0,1992,"Cherry Creek, NY
(42.29336363900046, -79.09200686499963)"
31013112950000,13,Belden & Blake Corporation,11295,0,0,GD,Lakeshore,AC,Yukon 367,Ripley,Medina,12,4459,26,1993,"Ripley, NY
(42.26656226300048, -79.71128793299965)"
31013125390000,13,"Kastle Resources Enterprises, Inc.",12539,0,0,GD,Lakeshore,AC,Maziar NY #22,Cherry Creek,Grimsby,9,4102,,2000,"Cherry Creek, NY
(42.29336363900046, -79.09200686499963)"
31013192560000,13,Vineyard Oil & Gas Co.,19256,0,0,GD,Lakeshore,IN,James Raven 1,Sherman,Medina,0,0,0,1993,"Sherman, NY
(42.159343358000456, -79.59595849699963)"
31099204470000,99,Columbia Natural Resources  LLC,20447,0,0,GE,Fayette-Waterloo,AC,Pearce 2577,Fayette,Queenston,12,3674,0,1995,"Fayette, NY
(42.81890018200045, -76.80892795599965)"
31013156810000,13,"GFS Energy, Inc.",15681,0,0,GD,Lakeshore,AC,Olsen O #2,Gerry,Medina,7,3486,50,1987,"Gerry, NY
(42.19296008200047, -79.24892957399965)"
31013137880000,13,"Lenape Resources, Inc.",13788,0,0,GD,Lakeshore,AC,Miller #1,Kiantone,Medina,8,4923,80,1994,"Kiantone, NY
(42.02199943500045, -79.19809619699964)"
31069040570000,69,Seneca Resources Corp.,4057,0,0,GD,East Bloomfield,AC,"Birx, H. #6663",East Bloomfield,Medina,12,622,0,1997,"East Bloomfield, NY
(42.8970310410005, -77.44275974599964)"
31013208100000,13,"Shelex Drilling, Inc.",20810,0,0,GD,Lakeshore,AC,Stearns Unit 1,Stockton,Medina,2,6,0,1995,"Stockton, NY
(42.31662335800047, -79.35563933699967)"
31037194020000,37,"Subsea Oil & Gas, Inc.",19402,0,0,GD,Alden-Lancaster,AC,Staebell 1,Pembroke,Medina,12,3517,0,1998,"Pembroke, NY
(43.01478113200045, -78.34690983699966)"
31037204890000,37,United States Gypsum Co.,20489,0,0,GD,Bethany,AC,Lor-Rob Dairy #10 (6606),Bethany,Medina,12,465,0,1999,"Bethany, NY
(42.91424359000047, -78.19239885099967)"
31013189400000,13,"Stedman Energy, Inc.",18940,0,0,GD,Lakeshore,AC,"Sweeney, W. Sr. #3",Busti,Medina,8,2286,90,1988,"Busti, NY
(42.03788189500045, -79.28375662499968)"
31121208460000,121,United States Gypsum Co.,20846,0,0,GD,Sheldon,AC,"Youngers, F. #1",Sheldon,Medina,12,796,40,1998,"Sheldon, NY
(42.7372410640005, -78.41924809699964)"
31121208460000,121,United States Gypsum Co.,20846,0,0,GD,Sheldon,AC,"Youngers, F. #1",Sheldon,Medina,11,1219,83,1990,"Sheldon, NY
(42.7372410640005, -78.41924809699964)"
31029037060000,29,Iroquois Gas Corp.,3706,0,0,GD,Alden-Lancaster,UN,Hall O A Estate 1,Lancaster,Medina,,,,2000,"Lancaster, NY
(42.90039405300047, -78.67012970499968)"
31013116040000,13,"Lenape Resources, Inc.",11604,0,0,GD,Lakeshore,AC,Vandette 305,Stockton,Medina,9,75,0,1990,"Stockton, NY
(42.31662335800047, -79.35563933699967)"
31009170730000,9,Great Lakes Energy Partners,17073,0,0,GD,Ellicotville,AC,"Rebescher, P 1",Ellicottville,Medina,2,109,0,1995,"Ellicottville, NY
(42.27552136300045, -78.67174645199964)"
31013137680000,13,Belden & Blake Corporation,13768,0,0,GD,Lakeshore,AC,Swanson 560,Chautauqua,Medina,12,1021,10,1997,"Chautauqua, NY
(42.205103549000455, -79.46580590299965)"
31029197170000,29,Symbol Oil Corp.,19717,0,0,GD,Brant-Eden,AC,Kappus 1,Eden,Medina,3,1894,0,1989,"Eden, NY
(42.66478221800048, -78.88882822399967)"
31029150950000,29,Seneca Resources Corp.,15095,0,0,GD,Lakeview,AC,Curry #776-I,Evans,Medina,12,1802,0,1996,"Evans, NY
(42.69834088200048, -78.94540989999967)"
31013156960000,13,Great Lakes Energy Partners,15696,0,0,GD,Lakeshore,AC,"Peru, P 1",Ellicott,Medina,11,5956,0,1989,"Ellicott, NY
(42.8744233810005, -78.85339824199963)"
31037194770000,37,United States Gypsum Co.,19477,0,0,GD,Huron Creek,AC,Kruszelnicki #1,Alexander,Medina,12,5002,230,1987,"Alexander, NY
(42.901733899000476, -78.25626928699967)"
31013163470000,13,"Nornew, Inc.",16347,0,0,GD,Lakeshore,AC,Lake Erie Beagle Club #2,Carroll,Medina,12,6344,50,1987,"Carroll, NY
(42.01751177700049, -78.34077780999968)"
31051161540000,51,"Big Tree, LLC",16154,0,0,GD,Silver Lake,AC,Curry 2,Leicester,Medina,12,17661,0,1991,"Leicester, NY
(42.7719921900005, -77.89395719199968)"
31013119090000,13,Belden & Blake Corporation,11909,0,0,GD,Lakeshore,AC,"Bernard, W (435)",Charlotte,Medina,0,0,0,1992,"Charlotte, NY
(43.24540427500045, -77.61779716599966)"
31013114550000,13,Belden & Blake Corporation,11455,0,0,GD,Lakeshore,AC,Shoemaker H 1,Portland,Medina,12,2081,0,1997,"Portland, NY
(42.3616243030005, -79.48653777899966)"
31013109670000,13,Belden & Blake Corporation,10967,0,0,GD,Lakeshore,AC,Becker 27,Portland,Medina,12,5062,0,1989,"Portland, NY
(42.3616243030005, -79.48653777899966)"
31013155990000,13,"Nornew, Inc.",15599,0,0,GD,Lakeshore,AC,"Levin, E. Unit #1",Busti,Medina,12,2943,0,1998,"Busti, NY
(42.03788189500045, -79.28375662499968)"
31013122670000,13,Belden & Blake Corporation,12267,0,0,GD,Lakeshore,AC,Hayes 1366 #1,Hanover,Medina,2,429,6,1994,"Hanover, NY
(42.963563303000456, -75.37938870499966)"
31029609080000,29,"Reserve Gas Co., Inc.",60908,0,0,GD,Alden-Lancaster,PA,B Ruzewski #1,Alden,Medina,12,268,0,1993,"Alden, NY
(42.90013055000048, -78.49091643399964)"
31051173570000,51,"Lenape Resources, Inc.",17357,0,0,GD,Uhley Corners-Caledonia,AC,Sturm & Wilson 153,York,Medina,12,390,0,1996,"York, NY
(43.20406110900046, -76.93921900099963)"
31069194190000,69,"Ardent Resources, Inc.",19419,0,0,GD,Benton Run,IN,Davie 1,Geneva,Queenston,12,2683,0,1989,"Geneva, NY
(42.866420037000466, -76.98208959099964)"
31013144020000,13,"Cotton Well Drilling Co., Inc.",14402,0,0,GD,Lakeshore,AC,3133 Mason,Westfield,Medina,8,1419,55,1993,"Westfield, NY
(42.322304303000465, -79.57760707899968)"
31037194730000,37,United States Gypsum Co.,19473,0,0,GD,Huron Creek,AC,"Meyers, W. 2",Alexander,Medina,12,1347,42,1995,"Alexander, NY
(42.901733899000476, -78.25626928699967)"
31013211910000,13,Great Lakes Energy Partners,21191,0,0,GD,Lakeshore,AC,NYSRA #5-24,Chautauqua,Medina,9,35672,15,1989,"Chautauqua, NY
(42.205103549000455, -79.46580590299965)"
31051196110000,51,"Orion Develop & Exploration, Inc.",19611,0,0,GD,Leicester,AC,Degraff 1,Leicester,Medina,11,2270,20,1997,"Leicester, NY
(42.7719921900005, -77.89395719199968)"
31037160850000,37,"GFS Energy, Inc.",16085,0,0,GD,Alden-Lancaster,AC,Fenton 1,Pembroke,Medina,12,3193,1,1989,"Pembroke, NY
(43.01478113200045, -78.34690983699966)"
31009171610000,9,Great Lakes Energy Partners,17161,0,0,GD,Lakeshore,AC,"Brown,G 3",Randolph,Medina,10,2348,0,1989,"Randolph, NY
(42.16233121400046, -78.97460960099966)"
31013113420000,13,Belden & Blake Corporation,11342,0,0,GD,Lakeshore,AC,Crandall Unit 326 1,Stockton,Medina,12,1115,20,1997,"Stockton, NY
(42.31662335800047, -79.35563933699967)"
31013127050000,13,Great Lakes Energy Partners,12705,0,0,GD,Lakeshore,AC,McCord 1,Westfield,Medina,11,2260,0,1989,"Westfield, NY
(42.322304303000465, -79.57760707899968)"
31013179470000,13,Dannic Energy Corp.,17947,0,0,GD,Lakeshore,AC,A Carlson Unit #1,Carroll,Medina,12,623,0,1992,"Carroll, NY
(42.01751177700049, -78.34077780999968)"
31003135490000,3,"Otis Eastern Service, Inc.",13549,0,0,GW,Karr Valley,AC,NYSRA #3-6213,Almond,Marcellus,0,0,0,1993,"Almond, NY
(42.320491046000484, -77.73752576099963)"
31013176000000,13,Great Lakes Energy Partners,17600,0,0,GD,Lakeshore,AC,"Fletcher,R 2",French Creek,Medina,2,94,0,1993,"French Creek, NY
(42.0678276910005, -79.70365587199967)"
31121182020000,121,United States Gypsum Co.,18202,0,0,GD,Sheldon,AC,Brigzna #1,Sheldon,Medina,11,451,0,1992,"Sheldon, NY
(42.7372410640005, -78.41924809699964)"
31013172190000,13,Great Lakes Energy Partners,17219,0,0,GD,Lakeshore,AC,"Shields, R 3",Poland,Medina,12,5427,0,1986,"Poland, NY
(43.23037120900045, -75.07312681499963)"
31029190840000,29,"Subsea Oil & Gas, Inc.",19084,0,0,GD,Elma,AC,Curley 1,Elma,Medina,0,0,0,1993,"Elma, NY
(42.8488412640005, -78.64054591599967)"
31013124240000,13,Belden & Blake Corporation,12424,0,0,GD,Lakeshore,AC,Wise 457,Arkwright,Medina,12,5902,0,1987,"Arkwright, NY
(42.40699727700047, -79.23642814699963)"
31009197770000,9,Cabot Oil & Gas Corp.,19777,0,0,GD,Lakeshore,PA,"Miller, E #1",Conewango,Medina,12,1382,0,1991,"Conewango, NY
(42.239622435000456, -79.05676892799966)"
31029178290000,29,L. W. Resources,17829,0,0,GD,North Collins,IN,Zimmer #1,Collins,Medina,8,1958,0,1991,"Collins, NY
(42.49661373900045, -78.92307914199966)"
31037196840000,37,United States Gypsum Co.,19684,0,0,GD,Huron Creek,AC,Gow & Yap #1,Darien,Medina,12,1375,0,2000,"Darien, NY
(42.90205099500048, -78.35201911399963)"
31009184360000,9,Eastern American Energy Corp.,18436,0,0,GD,Lakeshore,AC,Walters-Senn Unit #1,Randolph,Medina,12,1312,0,1994,"Randolph, NY
(42.16233121400046, -78.97460960099966)"
31121163430000,121,United States Gypsum Co.,16343,0,0,GD,Sheldon,AC,Hibsch-Kirsch #1,Sheldon,Medina,10,3230,0,1986,"Sheldon, NY
(42.7372410640005, -78.41924809699964)"
31013130790000,13,Belden & Blake Corporation,13079,0,0,GD,Lakeshore,PA,Depew 545,Charlotte,Medina,7,70,0,1992,"Charlotte, NY
(43.24540427500045, -77.61779716599966)"
31101120160000,101,"Warriner, Wayne",12016,0,0,GW,Jackson Hill,AC,Warriner An-1,Greenwood,Penny,12,1200,0,1996,"Greenwood, NY
(42.13706172700046, -77.64799728299965)"
31013223050000,13,"Schreiner Oil & Gas, Inc.",22305,0,0,GD,Lakeshore,AC,Leone #1,Hanover,Medina,12,3039,0,1999,"Hanover, NY
(42.963563303000456, -75.37938870499966)"
31013154470000,13,Great Lakes Energy Partners,15447,0,0,GD,Lakeshore,AC,Lawrence #1,Ellery,Medina,12,3323,0,1996,"Ellery, NY
(42.19514403000045, -79.38579925999966)"
31013121000000,13,Belden & Blake Corporation,12100,0,0,GD,Lakeshore,AC,Crowell 1315,Hanover,Medina,5,88,0,1987,"Hanover, NY
(42.963563303000456, -75.37938870499966)"
31029128530000,29,"Bromley, Norman E.",12853,0,0,GD,Brant-Eden,AC,Bromley #1,Evans,Medina,12,0,0,1993,"Evans, NY
(42.69834088200048, -78.94540989999967)"
31013153330000,13,Cassadaga Valley Central School,15333,0,0,GD,Lakeshore,AC,Permit 00561-Fee 1,Gerry,Medina,12,7323,90,1995,"Gerry, NY
(42.19296008200047, -79.24892957399965)"
31013143810000,13,Seneca Resources Corp.,14381,0,0,GD,Lakeshore,AC,Morrison #6656,Busti,Medina,12,966,20,1997,"Busti, NY
(42.03788189500045, -79.28375662499968)"
31013180480000,13,"Nornew, Inc.",18048,0,0,GD,Lakeshore,AC,Newman Unit #1,Ellicott,Medina,12,8032,100,1988,"Ellicott, NY
(42.8744233810005, -78.85339824199963)"
31013125920000,13,"Stedman Energy, Inc.",12592,0,0,GD,Lakeshore,AC,NYSRA 13-7,Harmony,Medina,12,2481,0,1995,"Harmony, NY
(41.20120795700046, -73.88346743599965)"
31037173170000,37,United States Gypsum Co.,17317,0,0,GW,Danley Corners,AC,Marquart #1,Darien,Medina,12,1489,0,1998,"Darien, NY
(42.90205099500048, -78.35201911399963)"
31013127370000,13,Great Lakes Energy Partners,12737,0,0,GD,Lakeshore,AC,"Issler, W 1",Westfield,Medina,12,2303,0,1996,"Westfield, NY
(42.322304303000465, -79.57760707899968)"
31013117200000,13,"Lenape Resources, Inc.",11720,0,0,GD,Lakeshore,AC,Spindler 354,Arkwright,Medina,12,1693,6,1989,"Arkwright, NY
(42.40699727700047, -79.23642814699963)"
31009169180000,9,"Texas Keystone, Inc.",16918,0,0,GD,Lakeshore,AC,Bugenhagen #1,Persia,Medina,5,1216,0,1991,"Persia, NY
(42.3847813000005, -78.93615603399968)"
31053217280000,53,"Nornew, Inc.",21728,0,0,GW,Bradley Brook,AC,Fleming 1,Lebanon,Oneida-Oswego,2,896,0,1999,"Lebanon, NY
(42.78105401200048, -75.64767937299968)"
31013178090000,13,"Kastle Resources Enterprises, Inc.",17809,0,0,GD,Lakeshore,IN,Auffinger #1,Ellington,Medina,0,0,0,1999,"Ellington, NY
(42.217001377000486, -79.10806714699964)"
31013198080000,13,"Envirogas, Inc.",19808,0,0,GD,Lakeshore,PA,"Bailey, N #1",Clymer,Medina,3,333,10,1988,"Clymer, NY
(42.020830128000455, -79.62887850199968)"
31013198550000,13,"Chautauqua Energy,  Inc.",19855,0,0,GD,Lakeshore,AC,Zeitler 2,Sherman,Medina,9,2463,75,1991,"Sherman, NY
(42.159343358000456, -79.59595849699963)"
31029179990000,29,Erie County Agricultural Society,17999,0,0,GD,Orchard Park-Hamburg,IN,Erie County Fair Gro,Hamburg,Medina,12,3202,0,1986,"Hamburg, NY
(42.71606257200045, -78.83210809599967)"
31013117950000,13,Belden & Blake Corporation,11795,0,0,GD,Lakeshore,AC,Weise 366,Chautauqua,Medina,12,5887,0,1986,"Chautauqua, NY
(42.205103549000455, -79.46580590299965)"
31013218830000,13,Seneca Resources Corp.,21883,0,0,GD,Lakeshore,AC,"Brooks, H #7040",Busti,Medina,12,60536,85,1991,"Busti, NY
(42.03788189500045, -79.28375662499968)"
31029162920000,29,"Stedman Energy, Inc.",16292,0,0,GD,Brant-Eden,AC,Vacco 1,Eden,Medina,12,1250,12,1993,"Eden, NY
(42.66478221800048, -78.88882822399967)"
31013183670000,13,"Lenape Resources, Inc.",18367,0,0,GD,Lakeshore,AC,Dewey 736,Sherman,Medina,12,3383,24,1993,"Sherman, NY
(42.159343358000456, -79.59595849699963)"
31009167180000,9,Great Lakes Energy Partners,16718,0,0,GD,Lakeshore,AC,D. Miller 1,Leon,Medina,12,17194,0,1993,"Leon, NY
(42.29338150400048, -79.01635918699964)"
31037159920000,37,Leroy Central School District,15992,0,0,GD,Uhley Corners-Caledonia,AC,Fee 2,Le Roy,Medina,12,20,0,1990,"Le Roy, NY
(42.977662944000485, -77.99116745099968)"
31013152130000,13,"Kastle Resources Enterprises, Inc.",15213,0,0,GD,Lakeshore,AC,Rendell NY #80,Harmony,Medina,12,3252,0,1999,"Harmony, NY
(41.20120795700046, -73.88346743599965)"
31013145550000,13,Belden & Blake Corporation,14555,0,0,GD,Lakeshore,AC,Ferris 592 #1,Westfield,Medina,12,3642,13,1997,"Westfield, NY
(42.322304303000465, -79.57760707899968)"
31013113490000,13,Belden & Blake Corporation,11349,0,0,GD,Lakeshore,AC,Dean Unit 260 1,Portland,Medina,11,2111,10,1998,"Portland, NY
(42.3616243030005, -79.48653777899966)"
31029155350000,29,"Schreiner Oil & Gas, Inc.",15535,0,0,GD,East Aurora,IN,Kold #848,Aurora,Medina,0,0,0,1991,"Aurora, NY
(42.75771390300048, -76.70292830999966)"
31013222380000,13,"Universal Resources Holdings , Inc.",22238,0,0,GD,Lakeshore,AC,Lapp #1,Arkwright,Medina,4,3923,0,1992,"Arkwright, NY
(42.40699727700047, -79.23642814699963)"
31013226370000,13,"Stedman Energy, Inc.",22637,0,0,GD,Lakeshore,AC,Farnham #1,Chautauqua,Medina,12,6123,75,1997,"Chautauqua, NY
(42.205103549000455, -79.46580590299965)"
31013192560000,13,Vineyard Oil & Gas Co.,19256,0,0,GD,Lakeshore,IN,James Raven 1,Sherman,Medina,12,0,0,1996,"Sherman, NY
(42.159343358000456, -79.59595849699963)"
31029119770000,29,"Ardent Resources, Inc.",11977,0,0,GD,Concord,AC,Pfarner N1498,Concord,Medina,12,388,0,1994,"Concord, NY
(42.53582208600045, -78.71790859699968)"
31013163610000,13,"Stedman Energy, Inc.",16361,0,0,GD,Lakeshore,AC,Baer #3,Busti,Medina,12,4727,60,2000,"Busti, NY
(42.03788189500045, -79.28375662499968)"
31053040020000,53,"Nornew, Inc.",4002,0,0,GW,Lebanon,AC,Parteko N-748,Lebanon,Herkimer-Oneida,12,16488,0,1997,"Lebanon, NY
(42.78105401200048, -75.64767937299968)"
31121185150000,121,"Stedman Energy, Inc.",18515,0,0,GD,Chaffee-Arcade,AC,Bojarczuk #2,Arcade,Medina,5,1117,0,1992,"Arcade, NY
(42.533830182000486, -78.42824739199966)"
31013153440000,13,Great Lakes Energy Partners,15344,0,0,GD,Lakeshore,AC,"Limberg, D 1",Chautauqua,Medina,12,3904,0,2000,"Chautauqua, NY
(42.205103549000455, -79.46580590299965)"
31013168250000,13,Great Lakes Energy Partners,16825,0,0,GD,Lakeshore,AC,"Hogenboom, N 1a",Clymer,Medina,12,2083,50,1993,"Clymer, NY
(42.020830128000455, -79.62887850199968)"
